Dates,Category,Descript,DayOfWeek,PdDistrict
2011-12-16 17:45:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Friday,TENDERLOIN
2011-12-16 17:05:00,DRUG/NARCOTIC,"PRESCRIPTION, FORGE OR ALTER (4390 B&P)",Friday,MISSION
2011-12-16 17:05:00,DRUG/NARCOTIC,FORGE OR ALTER PRESCRIPTION,Friday,MISSION
2011-12-16 16:20:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,BAYVIEW
2011-12-16 15:59:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,TENDERLOIN
2011-12-16 15:25:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Friday,TENDERLOIN
2011-12-16 13:28:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN
2011-12-16 12:42:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Friday,TARAVAL
2011-12-16 12:00:00,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT PRIVATE PROPERTY",Friday,RICHMOND
2011-12-16 11:45:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,TENDERLOIN
2011-12-16 11:45:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN
2011-12-16 03:51:00,SUICIDE,ATTEMPTED SUICIDE BY JUMPING,Friday,NORTHERN
2011-12-16 00:45:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,TARAVAL
2011-12-15 23:46:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Thursday,SOUTHERN
2011-12-15 23:41:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,SOUTHERN
2011-12-15 23:31:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,MISSION
2011-12-15 23:31:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,MISSION
2011-12-15 23:31:00,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Thursday,MISSION
2011-12-15 22:48:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,TENDERLOIN
2011-12-15 22:17:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,SOUTHERN
2011-12-15 18:49:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,MISSION
2011-12-15 18:49:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Thursday,MISSION
2011-12-15 18:00:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,NORTHERN
2011-12-15 16:02:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,SOUTHERN
2011-12-15 16:02:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,SOUTHERN
2011-12-15 15:50:00,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Thursday,TARAVAL
2011-12-15 15:50:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,TARAVAL
2011-12-15 15:50:00,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Thursday,TARAVAL
2011-12-15 13:52:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,TENDERLOIN
2011-12-15 13:52:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,TENDERLOIN
2011-12-15 13:49:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,TENDERLOIN
2011-12-15 13:49:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,TENDERLOIN
2011-12-15 10:50:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN
2011-12-15 10:50:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN
2011-12-15 10:39:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,TENDERLOIN
2011-12-15 10:26:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN
2011-12-15 10:26:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Thursday,TENDERLOIN
2011-12-14 23:05:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,MISSION
2011-12-14 21:25:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TARAVAL
2011-12-14 21:25:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,TARAVAL
2011-12-14 21:10:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,INGLESIDE
2011-12-14 20:44:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,NORTHERN
2011-12-14 19:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,MISSION
2011-12-14 19:00:00,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Wednesday,MISSION
2011-12-14 17:51:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,SOUTHERN
2011-12-14 17:51:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,SOUTHERN
2011-12-14 17:36:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Wednesday,TENDERLOIN
2011-12-14 17:05:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN
2011-12-14 17:05:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,TENDERLOIN
2011-12-14 14:51:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION
2011-12-14 14:48:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,MISSION
2011-12-14 14:48:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION
2011-12-14 13:50:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Wednesday,TENDERLOIN
2011-12-14 13:45:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN
2011-12-14 13:00:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,BAYVIEW
2011-12-14 13:00:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,BAYVIEW
2011-12-14 12:20:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Wednesday,BAYVIEW
2011-12-14 12:20:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,BAYVIEW
2011-12-13 21:13:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,BAYVIEW
2011-12-13 17:14:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2011-12-13 17:14:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,TENDERLOIN
2011-12-13 16:24:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,SOUTHERN
2011-12-13 15:48:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,MISSION
2011-12-13 15:27:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,TENDERLOIN
2011-12-13 15:27:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2011-12-13 15:08:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Tuesday,BAYVIEW
2011-12-13 13:09:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Tuesday,SOUTHERN
2011-12-13 12:45:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,MISSION
2011-12-13 12:45:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,MISSION
2011-12-13 12:05:00,EMBEZZLEMENT,EMBEZZLED VEHICLE,Tuesday,BAYVIEW
2011-12-13 11:51:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,INGLESIDE
2011-12-13 05:56:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,SOUTHERN
2011-12-12 23:14:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,INGLESIDE
2011-12-12 22:41:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,CENTRAL
2011-12-12 20:24:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,MISSION
2011-12-12 20:24:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,MISSION
2011-12-12 19:05:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2011-12-12 18:42:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,BAYVIEW
2011-12-12 18:42:00,DRUG/NARCOTIC,SALE OF METH-AMPHETAMINE,Monday,CENTRAL
2011-12-12 18:40:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,SOUTHERN
2011-12-12 18:30:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2011-12-12 17:45:00,DRUG/NARCOTIC,SALE OF METH-AMPHETAMINE,Monday,NORTHERN
2011-12-12 17:20:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Monday,NORTHERN
2011-12-12 16:41:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Monday,MISSION
2011-12-12 16:40:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,TENDERLOIN
2011-12-12 16:30:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Monday,TENDERLOIN
2011-12-12 16:25:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Monday,TENDERLOIN
2011-12-12 16:25:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,TENDERLOIN
2011-12-12 16:00:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Monday,MISSION
2011-12-12 16:00:00,DRUG/NARCOTIC,POSSESSION OF OPIATES,Monday,MISSION
2011-12-12 15:20:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,TENDERLOIN
2011-12-12 15:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,SOUTHERN
2011-12-12 15:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,SOUTHERN
2011-12-12 15:00:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,SOUTHERN
2011-12-12 14:42:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,NORTHERN
2011-12-12 14:42:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,NORTHERN
2011-12-12 13:17:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,MISSION
2011-12-12 12:17:00,EMBEZZLEMENT,EMBEZZLED VEHICLE,Monday,SOUTHERN
2011-12-12 11:45:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,SOUTHERN
2011-12-12 02:13:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,SOUTHERN
2011-12-12 01:50:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,TARAVAL
2011-12-04 23:52:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,SOUTHERN
2011-12-04 23:52:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,SOUTHERN
2011-12-04 16:09:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,SOUTHERN
2011-12-04 15:39:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",Sunday,BAYVIEW
2011-12-04 15:26:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Sunday,SOUTHERN
2011-12-04 14:25:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,BAYVIEW
2011-12-04 12:28:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,BAYVIEW
2011-12-04 11:53:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,MISSION
2011-12-04 11:53:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,MISSION
2011-12-03 20:18:00,DRUG/NARCOTIC,SALE OF HEROIN,Saturday,TENDERLOIN
2011-12-03 20:18:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Saturday,TENDERLOIN
2011-12-03 18:46:00,DRUG/NARCOTIC,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES,Saturday,TENDERLOIN
2011-12-03 17:10:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,SOUTHERN
2011-12-03 15:35:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,INGLESIDE
2011-12-03 11:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,INGLESIDE
2011-12-03 01:43:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,RICHMOND
2011-12-03 00:43:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,CENTRAL
2011-12-02 20:30:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,SOUTHERN
2011-12-02 17:57:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,MISSION
2011-12-02 17:24:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,MISSION
2011-12-02 17:24:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Friday,MISSION
2011-12-02 16:19:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Friday,TENDERLOIN
2011-12-02 16:19:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,TENDERLOIN
2011-12-02 16:00:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Friday,TENDERLOIN
2011-12-02 12:50:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,TENDERLOIN
2011-12-02 11:08:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,CENTRAL
2011-12-02 10:35:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Friday,INGLESIDE
2011-12-02 10:35:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Friday,INGLESIDE
2011-12-02 10:35:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,INGLESIDE
2011-12-02 10:35:00,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Friday,INGLESIDE
2011-12-02 10:35:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,INGLESIDE
2011-12-02 10:00:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Friday,TENDERLOIN
2011-12-02 07:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,TENDERLOIN
2011-12-02 02:12:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,MISSION
2011-12-02 02:12:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,MISSION
2011-12-02 01:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,SOUTHERN
2011-12-02 01:00:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,SOUTHERN
2011-12-02 00:45:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,SOUTHERN
2011-12-01 21:00:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,TENDERLOIN
2011-12-01 20:35:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,NORTHERN
2011-12-01 16:00:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Thursday,BAYVIEW
2011-12-01 16:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,BAYVIEW
2011-12-01 15:06:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,INGLESIDE
2011-12-01 14:54:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,NORTHERN
2011-12-01 14:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,TENDERLOIN
2011-12-01 13:07:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN
2011-12-01 11:11:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,MISSION
2011-12-01 11:11:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,MISSION
2011-12-01 11:11:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,MISSION
2011-12-01 07:40:00,DRUG/NARCOTIC,MONEY OFFENSE RELATED TO NARCOTICS TRAFFICKING,Thursday,BAYVIEW
2011-12-01 07:40:00,DRUG/NARCOTIC,MONEY OFFENSE RELATED TO NARCOTICS TRAFFICKING,Thursday,BAYVIEW
2011-11-30 23:05:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,SOUTHERN
2011-11-30 21:34:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,SOUTHERN
2011-11-30 21:29:00,DRUG/NARCOTIC,TRANSPORTATION OF METH-AMPHETAMINE,Wednesday,SOUTHERN
2011-11-30 20:42:00,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Wednesday,BAYVIEW
2011-11-30 20:42:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Wednesday,BAYVIEW
2011-11-30 20:30:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,MISSION
2011-11-30 19:08:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",Wednesday,TARAVAL
2011-11-30 16:56:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,NORTHERN
2011-11-30 16:31:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,TARAVAL
2011-11-30 15:16:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,MISSION
2011-11-30 13:30:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,PARK
2011-11-30 12:45:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Wednesday,TENDERLOIN
2011-11-30 10:57:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,TARAVAL
2011-11-30 01:52:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,RICHMOND
2011-11-30 00:41:00,SUICIDE,ATTEMPTED SUICIDE BY INGESTION,Wednesday,INGLESIDE
2011-11-30 00:38:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,SOUTHERN
2011-11-29 21:17:00,DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC,Tuesday,BAYVIEW
2011-11-29 20:26:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,INGLESIDE
2011-11-29 20:15:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,TARAVAL
2011-11-29 15:25:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,TENDERLOIN
2011-11-29 14:20:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,BAYVIEW
2011-11-29 13:38:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Tuesday,TENDERLOIN
2011-11-29 13:38:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Tuesday,TENDERLOIN
2011-11-29 13:38:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Tuesday,TENDERLOIN
2011-11-29 13:13:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,TARAVAL
2011-11-29 12:35:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,TARAVAL
2011-11-29 12:18:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,MISSION
2011-11-29 10:06:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,MISSION
2011-11-29 10:06:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,MISSION
2011-11-29 08:14:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Tuesday,CENTRAL
2011-11-29 05:03:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,BAYVIEW
2011-11-28 23:07:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,BAYVIEW
2011-11-28 21:05:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,NORTHERN
2011-11-28 20:53:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2011-11-28 20:19:00,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Monday,TENDERLOIN
2011-11-28 20:19:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Monday,TENDERLOIN
2011-11-28 17:04:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Monday,SOUTHERN
2011-11-28 16:50:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Monday,TENDERLOIN
2011-11-28 16:50:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN
2011-11-28 16:46:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,INGLESIDE
2011-11-28 15:33:00,EMBEZZLEMENT,EMBEZZLED VEHICLE,Monday,TENDERLOIN
2011-11-28 11:05:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,PARK
2011-11-28 08:00:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",Monday,SOUTHERN
2011-11-28 01:11:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,TARAVAL
2011-11-20 23:07:00,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Sunday,NORTHERN
2011-11-20 23:07:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Sunday,NORTHERN
2011-11-20 16:20:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,BAYVIEW
2011-11-20 15:26:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,SOUTHERN
2011-11-20 15:26:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,SOUTHERN
2011-11-20 15:15:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,TENDERLOIN
2011-11-20 15:08:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,BAYVIEW
2011-11-20 11:35:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Sunday,NORTHERN
2011-11-20 11:35:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Sunday,NORTHERN
2011-11-20 11:35:00,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Sunday,NORTHERN
2011-11-20 06:46:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Sunday,PARK
2011-11-20 04:30:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Sunday,CENTRAL
2011-11-20 04:30:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Sunday,CENTRAL
2011-11-20 04:30:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Sunday,CENTRAL
2011-11-19 22:20:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,SOUTHERN
2011-11-19 20:20:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,RICHMOND
2011-11-19 19:35:00,EMBEZZLEMENT,EMBEZZLED VEHICLE,Saturday,CENTRAL
2011-11-19 16:00:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,NORTHERN
2011-11-19 15:48:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Saturday,NORTHERN
2011-11-19 09:40:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,BAYVIEW
2011-11-19 08:09:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,MISSION
2011-11-18 21:53:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,SOUTHERN
2011-11-18 21:35:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Friday,MISSION
2011-11-18 21:35:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,MISSION
2011-11-18 21:10:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,TENDERLOIN
2011-11-18 20:19:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,INGLESIDE
2011-11-18 20:19:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,INGLESIDE
2011-11-18 20:13:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,NORTHERN
2011-11-18 20:13:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,NORTHERN
2011-11-18 20:02:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Friday,SOUTHERN
2011-11-18 20:02:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,SOUTHERN
